avgLdpcIterations;ulBytes;pmi;rsrp;cqi;pucchSnr;rssi;ueId;inSync;dlBytes;dlMcs;ulMcs;ulBler;ri;pcmax;puschSnr;dlBler;phr;rsrq;sinr
3.4;3754.0;-9;-86.0;15.0;20.0;75.2;216;1.0;2432.0;9.0;9.0;0.0590490000;2.0;16.0;18.5;0.1000000000;44.0;-10.5;23.5
3.8;14255.0;-2.1;-86.0;15.0;18.0;74.5;216;1.0;17709.0;9.0;12.0;0.0354190000;2.0;16.0;18.5;0.0590490000;46.0;-10.5;23.5
3.0;16490.0;-2.1;-87.0;15.0;17.0;75.0;216;1.0;18551.0;9.0;9.0;0.0137220000;2.0;16.0;18.0;0.0478300000;44.0;-10.5;23.5
3.4;18902.0;-2.1;-87.0;15.0;17.0;75.2;216;1.0;19425.0;9.0;9.0;0.0047850000;2.0;16.0;10.5;0.0387420000;44.0;-10.5;23.5
3.2;21121.0;-2.1;-87.0;15.0;18.0;74.7;216;1.0;20267.0;9.0;9.0;0.0381180000;2.0;16.0;18.5;0.0313810000;44.0;-10.5;23.5
3.7;23533.0;-2.1;-87.0;15.0;18.0;74.0;216;1.0;21141.0;9.0;9.0;0.0132910000;2.0;16.0;10.0;0.0254190000;46.0;-10.5;23.5
3.1;25961.0;-2.1;-87.0;15.0;17.0;75.9;216;1.0;21983.0;9.0;9.0;0.0046340000;2.0;16.0;20.0;0.0205890000;44.0;-10.5;23.5
3.4;28180.0;-2.1;-87.0;15.0;18.0;75.9;216;1.0;22825.0;9.0;9.0;0.0017950000;2.0;16.0;19.0;0.0166770000;44.0;-10.5;23.5
3.5;30383.0;-2.1;-87.0;15.0;17.0;75.2;216;1.0;23699.0;9.0;9.0;0.0411260000;2.0;16.0;10.0;0.0135090000;44.0;-10.5;23.5
4.0;32811.0;-2.1;-87.0;15.0;17.0;75.0;216;1.0;24541.0;9.0;9.0;0.0143400000;2.0;16.0;18.5;0.0109420000;44.0;-10.5;23.5
3.1;35223.0;-2.1;-87.0;15.0;18.0;75.2;216;1.0;25415.0;9.0;9.0;0.0050000000;2.0;16.0;11.5;0.0088630000;44.0;-10.5;23.5
3.3;38278.0;-2.1;-87.0;15.0;17.0;75.8;216;1.0;28442.0;9.0;9.0;0.0019370000;2.0;16.0;19.5;0.0071790000;44.0;-10.5;23.5
3.2;40497.0;-2.1;-86.0;15.0;18.0;75.8;216;1.0;29316.0;9.0;9.0;0.0006750000;2.0;16.0;19.5;0.0208150000;44.0;-10.5;23.5
3.8;42700.0;-2.1;-87.0;15.0;18.0;74.7;216;1.0;30190.0;9.0;9.0;0.0002620000;2.0;16.0;11.0;0.0168600000;44.0;-10.5;23.5
3.4;45128.0;-2.1;-87.0;15.0;17.0;75.2;216;1.0;31032.0;9.0;9.0;0.0000910000;2.0;16.0;18.5;0.0136570000;44.0;-10.5;23.5
3.3;47540.0;-2.1;-87.0;15.0;17.0;74.7;216;1.0;31906.0;9.0;9.0;0.0000320000;2.0;16.0;11.0;0.0110620000;44.0;-10.5;23.5
3.8;49759.0;-2.1;-87.0;15.0;17.0;75.0;216;1.0;32748.0;9.0;9.0;0.0450110000;2.0;16.0;18.5;0.0089600000;44.0;-10.5;23.5
3.8;51978.0;-2.1;-87.0;15.0;17.0;75.0;216;1.0;33590.0;9.0;9.0;0.0174380000;2.0;16.0;18.0;0.0072580000;44.0;-10.5;23.5
3.4;54390.0;-2.1;-86.0;15.0;17.0;74.7;216;1.0;34464.0;9.0;9.0;0.0060800000;2.0;16.0;11.0;0.0058790000;44.0;-10.5;23.5
3.4;56818.0;-2.1;-86.0;15.0;18.0;75.8;216;1.0;35306.0;9.0;9.0;0.0021200000;2.0;16.0;19.0;0.0047620000;44.0;-10.5;23.5
3.8;59021.0;-2.1;-86.0;15.0;18.0;74.7;216;1.0;36180.0;9.0;9.0;0.0507390000;2.0;16.0;11.0;0.0038570000;44.0;-10.5;23.5
3.4;61449.0;-2.1;-87.0;15.0;17.0;75.8;216;1.0;37022.0;9.0;9.0;0.0176920000;2.0;16.0;19.0;0.0031240000;44.0;-10.5;23.5
3.4;63668.0;-2.1;-87.0;15.0;18.0;75.8;216;1.0;37864.0;9.0;9.0;0.0068540000;2.0;16.0;19.5;0.0025310000;44.0;-10.5;23.5
3.2;66080.0;-2.1;-87.0;15.0;18.0;75.0;216;1.0;38738.0;9.0;9.0;0.0023900000;2.0;16.0;11.0;0.0020500000;44.0;-10.5;23.5
3.5;68299.0;-2.1;-87.0;15.0;17.0;75.0;216;1.0;39580.0;9.0;9.0;0.0008330000;2.0;16.0;18.5;0.0016600000;44.0;-10.5;23.5
3.6;70711.0;-2.1;-87.0;15.0;17.0;75.2;216;1.0;40454.0;9.0;9.0;0.0196620000;2.0;16.0;11.0;0.0013450000;44.0;-10.5;23.5
3.6;73139.0;-2.1;-87.0;15.0;17.0;75.9;216;1.0;41296.0;9.0;9.0;0.0068560000;2.0;16.0;19.0;0.0010890000;44.0;-10.5;23.5
3.4;75149.0;-2.1;-87.0;15.0;18.0;75.9;216;1.0;41701.0;9.0;9.0;0.0023900000;2.0;16.0;19.0;0.0009800000;44.0;-10.5;23.5
3.5;77368.0;-2.1;-87.0;15.0;18.0;75.9;216;1.0;42575.0;9.0;9.0;0.0009260000;2.0;16.0;19.5;0.0007940000;44.0;-10.5;23.5
3.6;79571.0;-2.1;-87.0;15.0;17.0;75.0;216;1.0;43417.0;9.0;9.0;0.0218460000;2.0;16.0;11.0;0.0006430000;44.0;-10.5;23.5
