avgLdpcIterations;ulBytes;pmi;rsrp;cqi;pucchSnr;rssi;ueId;inSync;dlBytes;dlMcs;ulMcs;ulBler;ri;pcmax;puschSnr;dlBler;phr;rsrq;sinr
3.1;3489.0;-15.1;-78.0;15.0;24.0;86.0;242;1.0;2235.0;9.0;9.0;0.0656100000;2.0;25.0;23.5;0.0810000000;52.0;-10.5;23.5
3.2;8171.0;-9.1;-77.0;15.0;31.0;89.0;242;1.0;4024.0;9.0;9.0;0.0254190000;2.0;25.0;24.0;0.0729000000;52.0;-10.5;23.5
3.1;13058.0;-9.1;-78.0;15.0;30.0;86.0;242;1.0;4898.0;9.0;9.0;0.0088630000;2.0;24.0;21.0;0.0656100000;52.0;-10.5;23.5
3.1;17524.0;-15.1;-78.0;15.0;27.0;86.0;242;1.0;5772.0;9.0;9.0;0.0034340000;2.0;24.0;21.0;0.0531440000;52.0;;
3.2;22378.0;-9;-78.0;15.0;24.0;85.9;242;1.0;6646.0;9.0;9.0;0.0011970000;2.0;24.0;11.5;0.0430470000;52.0;-10.5;23.5
3.4;27620.0;-9;-77.0;15.0;22.0;86.0;242;1.0;7957.0;9.0;9.0;0.0004170000;2.0;24.0;21.0;0.0348680000;52.0;-10.5;23.5
3.2;32474.0;-9;-78.0;15.0;20.0;83.6;242;1.0;8831.0;9.0;9.0;0.0001460000;2.0;24.0;8.5;0.0282430000;52.0;-10.5;23.5
3.3;37361.0;-11;-77.0;15.0;18.0;84.9;242;1.0;9705.0;9.0;9.0;0.0000510000;2.0;24.0;19.5;0.0228770000;52.0;-10.5;23.5
3.2;41827.0;-9;-78.0;15.0;13.0;85.0;242;1.0;10579.0;9.0;9.0;0.0000200000;2.0;24.0;19.5;0.0185300000;52.0;-10.5;23.5
3.2;47069.0;-9;-78.0;15.0;18.0;83.7;242;1.0;11890.0;9.0;9.0;0.0000070000;2.0;24.0;9.0;0.0135090000;52.0;-10.5;23.5
3.2;51956.0;-11;-78.0;15.0;18.0;84.8;242;1.0;12764.0;9.0;9.0;0.0000020000;2.0;24.0;19.0;0.0109420000;52.0;-10.5;23.5
3.4;56810.0;-9;-78.0;15.0;18.0;83.9;242;1.0;13638.0;9.0;9.0;0.0000010000;2.0;24.0;9.0;0.0088630000;52.0;-10.5;23.5
3.2;61697.0;-9;-78.0;15.0;15.0;84.8;242;1.0;14512.0;9.0;9.0;0.0000000000;2.0;24.0;19.5;0.0071790000;52.0;-10.5;23.5
3.8;72228.0;-15;-78.0;15.0;16.0;85.8;242;1.0;20263.0;10.0;9.0;0.0131220000;2.0;24.0;20.5;0.0052330000;52.0;-10.5;23.5
3.0;77082.0;-11;-78.0;15.0;17.0;85.1;242;1.0;21220.0;10.0;9.0;0.0045750000;2.0;24.0;10.0;0.0042390000;52.0;-10.5;23.5
3.1;81969.0;-11;-78.0;15.0;17.0;85.9;242;1.0;22094.0;9.0;9.0;0.0015950000;2.0;24.0;20.0;0.0034340000;52.0;-10.5;23.5
3.4;86823.0;-11;-78.0;15.0;12.0;83.7;242;1.0;22968.0;9.0;9.0;0.0905560000;2.0;24.0;9.0;0.0027810000;52.0;-10.5;23.5
3.1;91710.0;-11;-78.0;15.0;17.0;84.7;242;1.0;23842.0;9.0;9.0;0.0315750000;2.0;24.0;19.0;0.0022530000;52.0;-10.5;23.5
3.1;96176.0;-11;-78.0;15.0;17.0;84.8;242;1.0;24716.0;9.0;9.0;0.0122330000;2.0;24.0;19.5;0.0018250000;52.0;-10.5;23.5
3.2;101030.0;-9;-78.0;15.0;17.0;83.9;242;1.0;25590.0;9.0;9.0;0.0042650000;2.0;24.0;9.0;0.0014780000;52.0;;
3.3;105917.0;-9;-78.0;15.0;11.0;84.7;242;1.0;26464.0;9.0;9.0;0.0014870000;2.0;24.0;19.5;0.0011970000;52.0;-10.5;23.5
3.4;110771.0;-9;-78.0;15.0;18.0;83.8;242;1.0;27338.0;9.0;9.0;0.0005190000;2.0;24.0;9.0;0.0009700000;52.0;-10.5;23.5
3.5;115658.0;-9;-78.0;15.0;18.0;83.7;242;1.0;28212.0;9.0;9.0;0.0244810000;2.0;24.0;18.0;0.0007860000;52.0;-10.5;23.5
3.4;120124.0;-9;-78.0;15.0;18.0;84.7;242;1.0;29086.0;9.0;9.0;0.0094840000;2.0;24.0;19.0;0.0006360000;52.0;-10.5;23.5
3.2;124978.0;-9;-78.0;15.0;16.0;83.8;242;1.0;29960.0;9.0;9.0;0.0033070000;2.0;24.0;9.0;0.0005150000;52.0;-10.5;23.5
3.1;129865.0;-9;-78.0;15.0;19.0;84.9;242;1.0;30834.0;9.0;9.0;0.0011530000;2.0;24.0;19.0;0.0004170000;52.0;-10.5;23.5
3.1;134719.0;-9;-78.0;15.0;18.0;83.9;242;1.0;31708.0;9.0;9.0;0.0004020000;2.0;24.0;9.0;0.0003380000;52.0;-10.5;23.5
3.5;139606.0;-9;-78.0;15.0;17.0;83.9;242;1.0;32582.0;9.0;9.0;0.1271400000;2.0;24.0;18.5;0.0002740000;52.0;-10.5;23.5
3.2;144072.0;-9;-78.0;15.0;14.0;85.0;242;1.0;33456.0;9.0;9.0;0.0492570000;2.0;24.0;19.0;0.0002220000;52.0;-10.5;23.5
3.1;148926.0;-15;-78.0;15.0;17.0;83.8;242;1.0;34330.0;9.0;9.0;0.0171750000;2.0;24.0;9.0;0.0001800000;52.0;-10.5;23.5
3.2;153813.0;-15;-78.0;15.0;18.0;84.9;242;1.0;35204.0;9.0;9.0;0.0059880000;2.0;24.0;19.5;0.0001460000;52.0;-10.5;23.5
3.3;158667.0;-9;-78.0;15.0;17.0;83.7;242;1.0;36078.0;9.0;9.0;0.0020880000;2.0;24.0;9.0;0.0001180000;52.0;-10.5;23.5
3.3;163554.0;-9;-78.0;15.0;17.0;83.7;242;1.0;36952.0;9.0;9.0;0.0817280000;2.0;24.0;18.0;0.0000960000;52.0;-10.5;23.5
3.2;168020.0;-15;-78.0;15.0;17.0;84.9;242;1.0;37826.0;9.0;9.0;0.0316630000;2.0;24.0;19.5;0.0000770000;52.0;-10.5;23.5
3.1;172874.0;-15;-78.0;15.0;17.0;83.7;242;1.0;38700.0;9.0;9.0;0.0110400000;2.0;24.0;9.0;0.0000630000;52.0;-10.5;23.5
3.1;177761.0;-15;-78.0;15.0;17.0;84.8;242;1.0;39574.0;9.0;9.0;0.0038490000;2.0;24.0;19.5;0.0000510000;52.0;-10.5;23.5
3.2;182615.0;-11;-78.0;15.0;11.0;83.8;242;1.0;40448.0;9.0;9.0;0.0013420000;2.0;24.0;10.0;0.0000410000;52.0;-10.5;23.5
3.4;187502.0;-11;-78.0;15.0;18.0;84.8;242;1.0;41322.0;9.0;9.0;0.0904680000;2.0;24.0;19.0;0.0000330000;52.0;-10.5;23.5
3.1;191968.0;-9;-78.0;15.0;17.0;85.2;242;1.0;42196.0;9.0;9.0;0.0350490000;2.0;24.0;19.5;0.0000270000;52.0;-10.5;23.5
3.1;196822.0;-11;-78.0;15.0;18.0;84.0;242;1.0;43070.0;9.0;9.0;0.0122210000;2.0;24.0;10.0;0.0000220000;52.0;-10.5;23.5
3.1;201709.0;-11;-78.0;15.0;14.0;85.2;242;1.0;43944.0;9.0;9.0;0.0042610000;2.0;24.0;20.0;0.0000180000;52.0;-10.5;23.5
3.3;206563.0;-15;-78.0;15.0;17.0;84.1;242;1.0;44818.0;9.0;9.0;0.0014860000;2.0;24.0;10.0;0.0000140000;52.0;-10.5;23.5
3.1;211450.0;-11;-78.0;15.0;17.0;85.2;242;1.0;45692.0;9.0;9.0;0.0005180000;2.0;24.0;20.0;0.0000120000;52.0;-10.5;23.5
3.1;215495.0;-9;-78.0;15.0;17.0;84.9;242;1.0;46129.0;9.0;9.0;0.0001810000;2.0;24.0;19.5;0.0000100000;52.0;-10.5;23.5
3.1;219961.0;-15;-78.0;15.0;17.0;84.8;242;1.0;47003.0;9.0;9.0;0.0000700000;2.0;24.0;19.0;0.0000080000;52.0;-10.5;23.5
3.2;224815.0;-9;-78.0;15.0;17.0;84.0;242;1.0;47877.0;9.0;9.0;0.0000240000;2.0;24.0;10.0;0.0000080000;52.0;-10.5;23.5
3.1;229702.0;-9;-78.0;15.0;18.0;85.0;242;1.0;48751.0;9.0;9.0;0.0000090000;2.0;24.0;20.0;0.0000070000;52.0;-10.5;23.5
3.3;234556.0;-9;-78.0;15.0;10.0;84.0;242;1.0;49625.0;9.0;9.0;0.0900030000;2.0;24.0;10.5;0.0000060000;52.0;-10.5;23.5
3.2;239443.0;-9;-78.0;15.0;17.0;84.9;242;1.0;50499.0;9.0;9.0;0.0313820000;2.0;24.0;19.0;0.0000060000;52.0;-10.5;23.5
3.2;243909.0;-9;-78.0;15.0;11.0;84.7;242;1.0;50936.0;9.0;9.0;0.0121580000;2.0;24.0;19.0;0.0000050000;52.0;-10.5;23.5
3.1;248763.0;-9;-78.0;15.0;17.0;84.1;242;1.0;51810.0;9.0;9.0;0.0042390000;2.0;24.0;10.0;0.0000040000;52.0;-10.5;23.5
3.3;253650.0;-9;-78.0;15.0;17.0;84.8;242;1.0;52684.0;9.0;9.0;0.0014780000;2.0;24.0;19.0;0.0000040000;52.0;-10.5;23.5
3.3;258504.0;-9;-78.0;15.0;17.0;84.1;242;1.0;53558.0;9.0;9.0;0.0905150000;2.0;24.0;10.0;0.0000040000;52.0;-10.5;23.5
3.2;263391.0;-9;-78.0;15.0;12.0;85.0;242;1.0;54432.0;9.0;9.0;0.0315610000;2.0;24.0;19.0;0.0000030000;52.0;-10.5;23.5
3.2;267857.0;-9;-78.0;15.0;17.0;85.0;242;1.0;55306.0;9.0;9.0;0.0122270000;2.0;24.0;19.0;0.0000030000;52.0;-10.5;23.5
3.3;272711.0;-9;-78.0;15.0;18.0;83.9;242;1.0;56180.0;9.0;9.0;0.0042630000;2.0;24.0;10.0;0.0000020000;52.0;-10.5;23.5
3.1;277598.0;-9;-78.0;15.0;17.0;84.9;242;1.0;57054.0;9.0;9.0;0.0014870000;2.0;24.0;19.5;0.0000020000;52.0;-10.5;23.5
3.4;282452.0;-13;-78.0;15.0;18.0;83.7;242;1.0;57928.0;9.0;9.0;0.0005180000;2.0;24.0;10.0;0.0000010000;52.0;-10.5;23.5
3.2;287339.0;-15;-78.0;15.0;17.0;84.9;242;1.0;58802.0;9.0;9.0;0.0001810000;2.0;24.0;19.0;0.0000010000;52.0;-10.5;23.5
