avgLdpcIterations;ulBytes;pmi;rsrp;cqi;pucchSnr;rssi;ueId;inSync;dlBytes;dlMcs;ulMcs;ulBler;ri;pcmax;puschSnr;dlBler;phr;rsrq;sinr
3.0;4539.0;-9;-86.0;15.0;21.0;81.4;248;1.0;2370.0;9.0;10.0;0.0228770000;2.0;16.0;20.5;0.0810000000;42.0;-10.5;23.5
3.0;7160.0;-2.1;-86.0;15.0;21.0;78.7;248;1.0;3681.0;9.0;9.0;0.0088630000;2.0;16.0;11.0;0.0656100000;46.0;-10.5;23.5
3.0;9588.0;-2.1;-86.0;15.0;19.0;79.7;248;1.0;4523.0;9.0;9.0;0.0030900000;2.0;16.0;19.5;0.0531440000;44.0;-10.5;23.5
3.0;11807.0;-2.1;-86.0;15.0;19.0;79.5;248;1.0;5397.0;9.0;9.0;0.0011970000;2.0;16.0;19.0;0.0430470000;44.0;-10.5;23.5
3.0;14219.0;-2.1;-86.0;14.0;18.0;78.3;248;1.0;6239.0;9.0;9.0;0.0004170000;2.0;16.0;11.0;0.0348680000;46.0;-10.5;23.5
3.0;16647.0;-2.1;-86.0;15.0;19.0;79.2;248;1.0;7081.0;9.0;9.0;0.0001460000;2.0;16.0;19.0;0.0282430000;44.0;-10.5;23.5
3.0;19059.0;-2.1;-86.0;15.0;17.0;78.3;248;1.0;7955.0;9.0;9.0;0.0000510000;2.0;16.0;10.5;0.0228770000;46.0;-10.5;23.5
3.1;21487.0;-2.1;-86.0;15.0;17.0;79.2;248;1.0;8797.0;9.0;9.0;0.0000180000;2.0;16.0;19.0;0.0185300000;44.0;-10.5;23.5
3.0;23706.0;-2.1;-86.0;15.0;16.0;79.4;248;1.0;9671.0;9.0;9.0;0.0000070000;2.0;16.0;19.5;0.0150090000;44.0;-10.5;23.5
3.1;26327.0;-2.1;-86.0;15.0;18.0;78.4;248;1.0;10950.0;9.0;9.0;0.0000030000;2.0;16.0;10.5;0.0121580000;46.0;-10.5;23.5
3.2;28755.0;-2.1;-86.0;14.0;18.0;79.5;248;1.0;11792.0;9.0;9.0;0.0000010000;2.0;16.0;19.5;0.0098480000;44.0;-10.5;23.5
3.2;31167.0;-2.1;-86.0;15.0;18.0;78.3;248;1.0;12666.0;9.0;9.0;0.0000000000;2.0;16.0;10.5;0.0079770000;46.0;-10.5;23.5
3.0;33595.0;-2.1;-86.0;15.0;17.0;79.6;248;1.0;13508.0;9.0;9.0;0.0000000000;2.0;16.0;19.5;0.0064610000;44.0;-10.5;23.5
3.1;35605.0;-2.1;-86.0;15.0;17.0;79.2;248;1.0;13945.0;9.0;9.0;0.0000000000;2.0;16.0;19.0;0.0058150000;44.0;-10.5;23.5
