avgLdpcIterations;ulBytes;pmi;rsrp;cqi;pucchSnr;rssi;ueId;inSync;dlBytes;dlMcs;ulMcs;ulBler;ri;pcmax;puschSnr;dlBler;phr;rsrq;sinr
3.0;4792.0;-5.1;-78.0;11.0;33.0;95.5;230;1.0;1599.0;9.0;9.0;0.0729000000;4.0;22.0;30.5;0.0900000000;52.0;-10.5;23.5
3.0;9646.0;-4.1;-78.0;11.0;30.0;96.7;230;1.0;3167.0;9.0;9.0;0.0254190000;4.0;22.0;10.0;0.0729000000;52.0;-10.5;23.5
3.0;14533.0;-4.1;-78.0;10.0;28.0;94.4;230;1.0;4735.0;9.0;9.0;0.0088630000;4.0;23.0;29.5;0.0590490000;52.0;-10.5;23.5
3.1;20509.0;-4.1;-78.0;10.0;26.0;90.7;230;1.0;7087.0;9.0;9.0;0.0038150000;4.0;22.0;26.0;0.0430470000;52.0;;
3.1;25363.0;-4.1;-78.0;10.0;25.0;89.0;230;1.0;8655.0;9.0;9.0;0.0013300000;4.0;22.0;10.0;0.0348680000;52.0;-10.5;23.5
3.1;30250.0;-4.1;-78.0;10.0;22.0;90.7;230;1.0;10223.0;9.0;9.0;0.0004640000;4.0;22.0;26.0;0.0282430000;52.0;-10.5;23.5
3.4;35104.0;-4.1;-78.0;10.0;20.0;86.0;230;1.0;11791.0;9.0;9.0;0.0334950000;4.0;22.0;12.5;0.0228770000;52.0;-10.5;23.5
3.3;39991.0;-4.1;-78.0;10.0;18.0;86.0;230;1.0;13359.0;9.0;9.0;0.0707280000;4.0;22.0;22.0;0.0185300000;52.0;-10.5;23.5
3.2;44878.0;-4.1;-78.0;10.0;18.0;86.0;230;1.0;15711.0;9.0;9.0;0.0304460000;4.0;22.0;21.0;0.0150090000;52.0;-10.5;23.5
3.2;50153.0;-4.1;-78.0;10.0;18.0;85.2;230;1.0;18063.0;9.0;9.0;0.0117950000;4.0;22.0;11.0;0.0121580000;52.0;-10.5;23.5
3.2;55461.0;-4.1;-78.0;10.0;18.0;86.0;230;1.0;20415.0;9.0;9.0;0.0041130000;4.0;22.0;21.0;0.0098480000;52.0;-10.5;23.5
3.2;60736.0;-4.1;-78.0;10.0;18.0;85.2;230;1.0;22767.0;9.0;9.0;0.0014340000;4.0;22.0;11.0;0.0079770000;52.0;-10.5;23.5
