avgLdpcIterations;ulBytes;pmi;rsrp;cqi;pucchSnr;rssi;ueId;inSync;dlBytes;dlMcs;ulMcs;ulBler;ri;pcmax;puschSnr;dlBler;phr;rsrq;sinr
4.1;6768.0;-15.1;-81.0;15.0;30.0;95.0;211;1.0;5050.0;9.0;9.0;0.0531440000;2.0;24.0;31.5;0.0656100000;46.0;-10.5;23.5
3.9;11234.0;-9;-80.0;15.0;29.0;93.7;211;1.0;5924.0;9.0;9.0;0.0205890000;2.0;24.0;30.0;0.0531440000;48.0;-10.5;23.5
3.6;16088.0;-9;-81.0;15.0;29.0;83.2;211;1.0;6798.0;9.0;9.0;0.0071790000;2.0;24.0;15.0;0.0430470000;52.0;-10.5;23.5
4.3;20975.0;-15;-81.0;15.0;29.0;82.8;211;1.0;7672.0;9.0;9.0;0.0025030000;2.0;24.0;19.5;0.0348680000;52.0;-10.5;23.5
4.9;26217.0;-11;-81.0;15.0;24.0;80.2;211;1.0;8983.0;9.0;10.0;0.0008730000;2.0;24.0;10.0;0.0282430000;52.0;-10.5;23.5
5.5;31104.0;-15;-81.0;15.0;24.0;80.9;211;1.0;9857.0;9.0;9.0;0.0003040000;2.0;24.0;19.0;0.0228770000;52.0;-10.5;23.5
4.0;35258.0;-9;-81.0;15.0;24.0;81.2;211;1.0;10731.0;9.0;7.0;0.1630180000;2.0;24.0;19.5;0.0185300000;52.0;-10.5;23.5
3.2;38678.0;-9;-81.0;15.0;24.0;78.7;211;1.0;11605.0;9.0;6.0;0.1128020000;2.0;24.0;11.0;0.0150090000;52.0;-10.5;23.5
4.3;42399.0;-9;-81.0;15.0;24.0;81.1;211;1.0;12916.0;9.0;6.0;0.0726650000;2.0;24.0;18.5;0.0121580000;52.0;-10.5;23.5
4.0;45819.0;-9;-81.0;15.0;22.0;82.7;211;1.0;13790.0;9.0;6.0;0.0253370000;2.0;24.0;13.0;0.0098480000;52.0;-11.0;19.0
4.1;49271.0;-9;-81.0;15.0;20.0;82.3;211;1.0;14664.0;9.0;6.0;0.0088340000;2.0;24.0;17.5;0.0079770000;52.0;-11.0;20.5
3.7;52121.0;-9;-81.0;15.0;20.0;81.6;211;1.0;15101.0;9.0;6.0;0.0030800000;2.0;24.0;17.5;0.0071790000;52.0;-10.5;22.5
4.3;59909.0;-9;-80.0;15.0;17.0;80.1;211;1.0;18922.0;9.0;6.0;0.0011930000;2.0;25.0;15.5;0.0052330000;52.0;-11.0;19.0
3.3;64370.0;-15;-81.0;15.0;17.0;80.6;211;1.0;20297.0;9.0;8.0;0.0004160000;2.0;24.0;12.0;0.0042390000;52.0;-11.0;15.5
4.0;68679.0;-15;-82.0;15.0;18.0;82.4;211;1.0;21171.0;9.0;8.0;0.0001450000;2.0;24.0;19.0;0.0034340000;52.0;-11.0;16.0
3.5;72957.0;-12.1;-83.0;15.0;21.0;79.3;211;1.0;22045.0;9.0;8.0;0.0000510000;2.0;24.0;17.0;0.0027810000;52.0;-11.0;19.0
4.5;77084.0;-12.1;-83.0;15.0;20.0;77.9;211;1.0;22919.0;9.0;6.0;0.1539180000;2.0;24.0;13.5;0.0022530000;52.0;-11.0;18.0
3.1;80235.0;-12.1;-82.0;15.0;17.0;78.6;211;1.0;23793.0;9.0;6.0;0.0596310000;2.0;24.0;17.0;0.0018250000;52.0;-10.5;23.5
3.5;84212.0;-12.1;-82.0;15.0;17.0;78.6;211;1.0;24667.0;9.0;7.0;0.0207920000;2.0;24.0;17.0;0.0014780000;52.0;-10.5;23.5
3.3;87715.0;-12.1;-82.0;15.0;16.0;79.4;211;1.0;25541.0;9.0;7.0;0.0072500000;2.0;24.0;15.5;0.0011970000;52.0;-10.5;23.5
4.5;91519.0;-12.1;-82.0;15.0;17.0;77.4;211;1.0;26415.0;9.0;7.0;0.0025280000;2.0;24.0;13.0;0.0009700000;52.0;-10.5;23.5
3.1;95355.0;-10.1;-84.0;15.0;18.0;75.9;211;1.0;27289.0;9.0;7.0;0.0008810000;2.0;24.0;17.0;0.0007860000;52.0;-10.5;23.5
3.5;98858.0;-10.1;-85.0;15.0;19.0;77.4;211;1.0;28163.0;9.0;7.0;0.0003410000;2.0;24.0;16.5;0.0006360000;52.0;-10.5;23.5
3.1;102662.0;-10.1;-84.0;15.0;18.0;75.9;211;1.0;29037.0;9.0;7.0;0.0001190000;2.0;24.0;11.5;0.0005150000;52.0;-10.5;23.5
3.8;106498.0;-12.1;-83.0;15.0;15.0;81.0;211;1.0;29911.0;9.0;7.0;0.0000420000;2.0;24.0;18.0;0.0004170000;52.0;-10.5;23.5
3.8;110302.0;-12.1;-83.0;15.0;15.0;80.3;211;1.0;30785.0;9.0;7.0;0.0000140000;2.0;24.0;11.0;0.0003380000;52.0;-10.5;23.5
4.4;114138.0;-12.1;-81.0;15.0;15.0;79.5;211;1.0;31659.0;9.0;7.0;0.0177200000;2.0;24.0;13.5;0.0002740000;52.0;-10.5;23.5
3.2;117641.0;-12.1;-81.0;15.0;14.0;82.4;211;1.0;32533.0;9.0;7.0;0.0068650000;2.0;24.0;21.0;0.0002220000;52.0;-10.5;23.5
4.0;121445.0;-12.1;-82.0;15.0;16.0;83.6;211;1.0;33407.0;9.0;7.0;0.0023940000;2.0;24.0;9.0;0.0001800000;52.0;-10.5;23.5
5.1;125281.0;-12.1;-82.0;15.0;17.0;83.9;211;1.0;34281.0;9.0;7.0;0.0008350000;2.0;24.0;17.5;0.0001460000;52.0;-10.5;23.5
5.7;129085.0;-12.1;-81.0;15.0;15.0;81.4;211;1.0;35155.0;9.0;7.0;0.0002910000;2.0;24.0;10.0;0.0001180000;52.0;-10.5;22.0
5.1;132921.0;-12.1;-81.0;15.0;16.0;81.7;211;1.0;36029.0;9.0;7.0;0.0001010000;2.0;24.0;19.5;0.0000960000;52.0;-10.5;23.5
5.1;136424.0;-12.1;-81.0;15.0;16.0;82.2;211;1.0;36903.0;9.0;7.0;0.0000390000;2.0;24.0;18.0;0.0000770000;52.0;-10.5;23.5
4.5;140228.0;-12.1;-81.0;15.0;17.0;83.1;211;1.0;37777.0;9.0;7.0;0.0000140000;2.0;24.0;14.0;0.0000630000;52.0;-10.5;23.5
4.4;144064.0;-12.1;-81.0;15.0;16.0;82.0;211;1.0;38651.0;9.0;7.0;0.0000050000;2.0;24.0;19.0;0.0000510000;52.0;-11.0;18.0
