avgLdpcIterations;ulBytes;pmi;rsrp;cqi;pucchSnr;rssi;ueId;inSync;dlBytes;dlMcs;ulMcs;ulBler;ri;pcmax;puschSnr;dlBler;phr;rsrq;sinr
3.8;8185.0;-4.1;-80.0;11.0;24.0;92.9;212;1.0;4648.0;9.0;8.0;0.0884820000;4.0;23.0;30.0;0.0656100000;52.0;-10.5;20.0
4.0;12122.0;-4.1;-81.0;11.0;25.0;90.7;212;1.0;6216.0;9.0;8.0;0.0342800000;4.0;22.0;10.0;0.0531440000;52.0;-10.5;23.5
3.1;16431.0;-4.1;-80.0;11.0;22.0;92.0;212;1.0;7784.0;9.0;8.0;0.0119530000;4.0;22.0;27.0;0.0430470000;52.0;-10.5;23.5
4.8;20114.0;-7.1;-80.0;11.0;20.0;82.4;212;1.0;9352.0;9.0;6.0;0.3832800000;4.0;22.0;16.5;0.0348680000;52.0;-10.5;23.5
3.7;23502.0;-7.1;-80.0;11.0;19.0;85.7;212;1.0;11704.0;9.0;6.0;0.2960650000;4.0;22.0;11.0;0.0282430000;52.0;-10.5;19.5
3.8;27518.0;-7.1;-80.0;11.0;28.0;89.0;212;1.0;16157.0;10.0;6.0;0.1136460000;4.0;22.0;24.5;0.0205890000;52.0;-10.5;20.0
3.4;32443.0;-7.1;-80.0;11.0;20.0;85.8;212;1.0;22557.0;10.0;6.0;0.0558380000;4.0;22.0;9.0;0.0166770000;52.0;-10.5;22.5
3.7;35895.0;-7.1;-80.0;11.0;17.0;84.9;212;1.0;24909.0;9.0;6.0;0.0194700000;4.0;22.0;18.0;0.0135090000;52.0;-10.5;20.0
3.6;38745.0;-7.1;-80.0;11.0;16.0;84.9;212;1.0;28045.0;9.0;6.0;0.0525430000;4.0;23.0;21.0;0.0109420000;52.0;-10.5;20.0
3.5;42434.0;-7.1;-80.0;11.0;18.0;83.8;212;1.0;30397.0;9.0;6.0;0.0183210000;4.0;22.0;10.0;0.0088630000;52.0;-10.5;18.0
4.0;46187.0;-7.1;-80.0;11.0;17.0;83.7;212;1.0;32749.0;9.0;6.0;0.0812180000;4.0;22.0;15.0;0.0071790000;52.0;-10.5;19.5
4.5;50478.0;-7.1;-80.0;11.0;18.0;83.3;212;1.0;35885.0;9.0;6.0;0.0485690000;4.0;22.0;11.5;0.0052330000;52.0;-10.5;20.5
3.9;58521.0;-7.1;-80.0;11.0;17.0;84.2;212;1.0;43005.0;10.0;6.0;0.2006770000;4.0;23.0;20.0;0.0042390000;52.0;-10.5;20.5
