avgLdpcIterations;ulBytes;pmi;rsrp;cqi;pucchSnr;rssi;ueId;inSync;dlBytes;dlMcs;ulMcs;ulBler;ri;pcmax;puschSnr;dlBler;phr;rsrq;sinr
3.3;232.0;0;0.0;15.0;24.0;89.0;236;1.0;246.0;9.0;9.0;0.1000000000;1.0;24.0;29.5;0.1000000000;50.0;-10.5;23.5
3.4;7626.0;-11.1;-83.0;15.0;30.0;85.6;236;1.0;3684.0;9.0;9.0;0.0387420000;2.0;24.0;18.0;0.0729000000;52.0;-10.5;23.5
3.2;12092.0;-11.1;-83.0;15.0;27.0;80.6;236;1.0;4526.0;9.0;9.0;0.0150090000;2.0;24.0;13.5;0.0590490000;52.0;-10.5;23.5
3.2;16979.0;-9.1;-83.0;15.0;21.0;78.2;236;1.0;5400.0;9.0;9.0;0.0052330000;2.0;24.0;20.0;0.0478300000;52.0;-10.5;23.5
3.1;21833.0;-9.1;-83.0;15.0;20.0;77.5;236;1.0;6242.0;9.0;9.0;0.0018250000;2.0;24.0;10.5;0.0387420000;52.0;-10.5;23.5
3.0;27108.0;-11.1;-83.0;15.0;18.0;78.4;236;1.0;7521.0;9.0;9.0;0.0006360000;2.0;24.0;20.0;0.0313810000;52.0;-10.5;23.5
3.1;31574.0;-11.1;-83.0;15.0;18.0;78.5;236;1.0;8363.0;9.0;9.0;0.0002470000;2.0;24.0;20.0;0.0254190000;52.0;-10.5;23.5
3.1;36428.0;-13.1;-83.0;15.0;17.0;77.4;236;1.0;9205.0;9.0;9.0;0.0000860000;2.0;24.0;10.5;0.0205890000;52.0;-10.5;23.5
3.1;41315.0;-13.1;-83.0;15.0;19.0;78.7;236;1.0;10079.0;9.0;9.0;0.0000300000;2.0;24.0;20.5;0.0166770000;52.0;-10.5;23.5
3.2;46590.0;-13.1;-83.0;15.0;15.0;76.7;236;1.0;11358.0;9.0;9.0;0.0000100000;2.0;24.0;10.0;0.0121580000;52.0;-10.5;23.5
3.4;51477.0;-11.1;-83.0;15.0;18.0;77.6;236;1.0;12200.0;9.0;9.0;0.0000040000;2.0;24.0;20.0;0.0098480000;52.0;-10.5;23.5
3.4;55943.0;-9.1;-83.0;15.0;18.0;77.6;236;1.0;13042.0;9.0;9.0;0.0000010000;2.0;24.0;19.0;0.0079770000;52.0;-10.5;23.5
3.3;60797.0;-11.1;-83.0;15.0;15.0;76.9;236;1.0;13884.0;9.0;9.0;0.0000000000;2.0;24.0;9.5;0.0064610000;52.0;-10.5;23.5
3.0;72269.0;-11.1;-83.0;15.0;15.0;76.4;236;1.0;19571.0;10.0;9.0;0.0000000000;2.0;24.0;18.0;0.0047100000;52.0;-10.5;23.5
3.2;77123.0;-11.1;-83.0;15.0;14.0;76.9;236;1.0;20413.0;9.0;9.0;0.0000000000;2.0;24.0;9.5;0.0038150000;52.0;-10.5;23.5
3.1;82010.0;-13.1;-83.0;15.0;14.0;77.5;236;1.0;21255.0;9.0;9.0;0.0000000000;2.0;24.0;19.0;0.0030900000;52.0;-10.5;23.5
3.0;86476.0;-11.1;-83.0;15.0;15.0;77.5;236;1.0;22097.0;9.0;9.0;0.0000000000;2.0;24.0;19.0;0.0025030000;52.0;-10.5;23.5
3.1;91330.0;-11.1;-83.0;15.0;14.0;76.9;236;1.0;22939.0;9.0;9.0;0.0000000000;2.0;24.0;9.5;0.0020280000;52.0;-10.5;23.5
3.1;96217.0;-11.1;-83.0;15.0;15.0;77.5;236;1.0;23813.0;9.0;9.0;0.0000000000;2.0;24.0;19.5;0.0016420000;52.0;-10.5;23.5
3.2;101071.0;-11.1;-83.0;15.0;15.0;76.9;236;1.0;24655.0;9.0;9.0;0.0000000000;2.0;24.0;9.5;0.0013300000;52.0;-10.5;23.5
3.1;105958.0;-11.1;-83.0;15.0;18.0;77.6;236;1.0;25497.0;9.0;9.0;0.0000000000;2.0;24.0;19.0;0.0010780000;52.0;-10.5;23.5
3.1;110424.0;-11.1;-83.0;15.0;15.0;78.1;236;1.0;26339.0;9.0;9.0;0.0000000000;2.0;25.0;19.0;0.0008730000;52.0;-10.5;23.5
3.3;115278.0;-11.1;-83.0;15.0;15.0;77.4;236;1.0;27181.0;9.0;9.0;0.0000000000;2.0;25.0;9.0;0.0007070000;52.0;-10.5;23.5
3.5;120165.0;-9.1;-83.0;15.0;18.0;78.1;236;1.0;28055.0;9.0;9.0;0.0000000000;2.0;25.0;19.5;0.0005730000;52.0;-10.5;23.5
3.3;125019.0;-11.1;-83.0;15.0;14.0;77.3;236;1.0;28897.0;9.0;9.0;0.0000000000;2.0;25.0;9.5;0.0004640000;52.0;-10.5;23.5
3.1;129906.0;-11.1;-83.0;15.0;17.0;78.1;236;1.0;29739.0;9.0;9.0;0.0000000000;2.0;25.0;19.5;0.0003760000;52.0;-10.5;23.5
3.1;134372.0;-13.1;-83.0;15.0;15.0;78.0;236;1.0;30581.0;9.0;9.0;0.0000000000;2.0;24.0;20.0;0.0003040000;52.0;-10.5;23.5
3.1;139226.0;-11.1;-83.0;15.0;15.0;77.3;236;1.0;31423.0;9.0;9.0;0.0000000000;2.0;24.0;9.5;0.0002470000;52.0;-10.5;23.5
3.3;144113.0;-11.1;-83.0;15.0;15.0;77.9;236;1.0;32297.0;9.0;9.0;0.0000000000;2.0;24.0;20.0;0.0002000000;52.0;-10.5;23.5
3.1;148967.0;-13.1;-83.0;15.0;17.0;77.0;236;1.0;33139.0;9.0;9.0;0.0000000000;2.0;24.0;9.0;0.0001620000;52.0;-10.5;23.5
3.2;153854.0;-11.1;-83.0;15.0;18.0;78.0;236;1.0;33981.0;9.0;9.0;0.0000000000;2.0;24.0;19.0;0.0001310000;52.0;-10.5;23.5
3.7;157899.0;-11.1;-83.0;15.0;17.0;77.6;236;1.0;34386.0;9.0;9.0;0.0000000000;2.0;24.0;19.0;0.0001180000;52.0;-10.5;23.5
