dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr,ueId,predicted_anomaly,anomaly_score,authentication_status
22458.0,6.0,0.085216,105249.0,6.0,0.884304,1.0,37.0,24.0,-16.0,-4.0,-124.0,79.4,8.0,17.0,10.0,17.0,-1,-0.02827613810305385,rejected
22764.0,6.0,0.069025,106278.0,6.0,0.865177,1.0,38.0,24.0,-16.0,-3.5,-124.0,76.6,7.0,17.0,3.0,17.0,-1,-0.0365702170789346,rejected
23070.0,6.0,0.05591,107576.0,6.0,0.887767,1.0,37.0,24.0,-16.0,-3.5,-124.0,78.4,7.0,17.0,8.0,17.0,-1,-0.028681769690271364,rejected
23364.0,6.0,0.045287,108573.0,6.0,0.800909,1.0,40.0,25.0,-16.0,-3.5,-124.0,75.9,7.0,17.0,11.5,17.0,-1,-0.028740488387225427,rejected
25506.0,6.0,0.01036,116345.0,6.0,0.892524,1.0,30.0,24.0,-19.5,-6.5,-128.0,79.4,8.0,16.0,14.5,17.0,-1,-0.049366255389187264,rejected
25800.0,6.0,0.008392,116835.0,6.0,0.863735,1.0,38.0,25.0,-25.5,-11.5,-135.0,77.9,10.0,19.0,43.0,17.0,-1,-0.07163682428014362,rejected
26106.0,6.0,0.006797,118007.0,6.0,0.91851,1.0,37.0,24.0,-18.0,-5.5,-126.0,78.2,9.0,18.0,15.5,17.0,-1,-0.03801751992085467,rejected
26718.0,6.0,0.10446,120603.0,6.0,0.959071,1.0,32.0,25.0,-16.5,-3.0,-124.0,80.7,10.0,15.0,16.0,17.0,-1,-0.027118877963126287,rejected
26871.0,6.0,0.094014,120935.0,6.0,0.915066,1.0,31.0,24.0,-16.5,-3.0,-124.0,79.9,9.0,15.0,22.5,17.0,-1,-0.032825798610658596,rejected
27483.0,6.0,0.061682,121932.0,6.0,0.968571,1.0,39.0,25.0,-15.5,-2.5,-123.0,85.8,8.0,14.0,22.5,17.0,-1,-0.03305082417435312,rejected
34803.0,6.0,0.059555,142076.0,6.0,0.867888,1.0,31.0,25.0,-15.0,-2.5,-123.0,81.6,7.0,18.0,23.0,17.0,-1,-0.03240773783380346,rejected
35415.0,6.0,0.039074,142867.0,6.0,0.980171,1.0,38.0,25.0,-14.5,-1.0,-121.0,82.1,7.0,16.0,18.0,17.0,-1,-0.027055144364108608,rejected
35709.0,6.0,0.03165,143595.0,6.0,0.943718,1.0,32.0,25.0,-14.0,-0.5,-121.0,79.4,8.0,15.0,23.0,17.0,-1,-0.02757845194100028,rejected
36015.0,6.0,0.025637,145526.0,6.0,0.862372,1.0,28.0,25.0,-15.0,-2.0,-122.0,81.5,7.0,15.0,18.0,17.0,-1,-0.029528327926994113,rejected
36321.0,6.0,0.020766,147646.0,6.0,0.767999,1.0,30.0,25.0,-15.0,-1.5,-122.0,82.5,7.0,14.0,6.5,17.0,-1,-0.028224536982535797,rejected
37851.0,6.0,0.007241,157415.0,6.0,0.099558,1.0,30.0,24.0,-15.5,-2.5,-123.0,80.7,8.0,15.0,15.5,17.0,-1,-0.026422225193199256,rejected
