avgLdpcIterations;ulBytes;pmi;rsrp;cqi;pucchSnr;rssi;ueId;inSync;dlBytes;dlMcs;ulMcs;ulBler;ri;pcmax;puschSnr;dlBler;phr;rsrq;sinr
3.2;7703.0;-11.1;-83.0;15.0;35.0;92.0;209;1.0;5349.0;9.0;9.0;0.0387420000;2.0;25.0;25.5;0.0590490000;52.0;-11.0;22.5
4.4;12136.0;-11.1;-83.0;15.0;34.0;86.0;209;1.0;6223.0;9.0;9.0;0.0806190000;2.0;25.0;13.0;0.0478300000;52.0;-10.5;23.5
4.6;16090.0;-9;-83.0;15.0;31.0;86.0;209;1.0;7097.0;9.0;6.0;0.1610670000;2.0;25.0;20.5;0.0387420000;52.0;-10.5;23.5
4.4;19510.0;-9;-83.0;15.0;29.0;83.9;209;1.0;7971.0;9.0;6.0;0.0561610000;2.0;24.0;11.5;0.0313810000;52.0;-11.0;22.5
3.3;23295.0;-9;-83.0;15.0;24.0;83.7;209;1.0;9282.0;9.0;6.0;0.0195820000;2.0;25.0;18.5;0.0254190000;52.0;-10.5;21.5
4.6;26446.0;-11;-83.0;15.0;23.0;85.5;209;1.0;10156.0;9.0;6.0;0.0075860000;2.0;25.0;20.0;0.0205890000;52.0;-10.5;23.5
4.1;29866.0;-9;-83.0;15.0;24.0;86.0;209;1.0;11030.0;9.0;6.0;0.0296450000;2.0;25.0;10.0;0.0166770000;52.0;-11.0;22.5
3.5;33318.0;-9;-83.0;15.0;23.0;85.5;209;1.0;11904.0;9.0;6.0;0.0103370000;2.0;25.0;19.5;0.0135090000;52.0;-11.0;22.5
4.3;37039.0;-9;-84.0;15.0;22.0;83.1;209;1.0;13215.0;9.0;6.0;0.0036040000;2.0;25.0;11.5;0.0098480000;52.0;-11.0;22.5
4.5;40286.0;-13;-83.0;15.0;15.0;82.4;209;1.0;14089.0;9.0;6.0;0.0603060000;2.0;24.0;15.0;0.0079770000;52.0;-11.0;22.5
4.9;44199.0;-15;-84.0;15.0;19.0;80.6;209;1.0;14963.0;9.0;6.0;0.0844100000;2.0;24.0;15.5;0.0064610000;52.0;-11.0;22.5
6.2;47446.0;-9;-84.0;15.0;12.0;81.9;209;1.0;15837.0;9.0;6.0;0.3831860000;2.0;24.0;12.5;0.0052330000;52.0;-11.0;22.5
4.8;56771.0;-9.1;-84.0;15.0;16.0;81.1;209;1.0;22190.0;10.0;6.0;0.1619540000;2.0;24.0;16.0;0.0038150000;52.0;-11.0;22.5
4.8;60319.0;-9;-83.0;15.0;15.0;78.5;209;1.0;23147.0;10.0;6.0;0.1564700000;2.0;24.0;11.5;0.0030900000;52.0;-11.0;22.5
4.7;64104.0;-13;-84.0;15.0;11.0;77.5;209;1.0;24021.0;9.0;6.0;0.0806200000;2.0;24.0;14.0;0.0025030000;52.0;-11.0;22.5
5.4;67383.0;-9;-83.0;15.0;16.0;82.1;209;1.0;24895.0;9.0;6.0;0.0979000000;2.0;24.0;17.5;0.0020280000;52.0;-11.0;22.5
4.7;70803.0;-9;-82.0;15.0;16.0;80.3;209;1.0;25769.0;9.0;6.0;0.0674690000;2.0;24.0;12.0;0.0016420000;52.0;-11.0;22.5
4.5;74255.0;-15;-82.0;15.0;15.0;81.7;209;1.0;26643.0;9.0;6.0;0.0235250000;2.0;24.0;17.5;0.0013300000;52.0;-11.0;22.5
3.7;78008.0;-15;-82.0;15.0;14.0;79.4;209;1.0;27517.0;9.0;6.0;0.0091140000;2.0;24.0;15.0;0.0010780000;52.0;-11.0;22.5
3.7;81972.0;-15;-81.0;15.0;14.0;80.3;209;1.0;28391.0;9.0;7.0;0.0109260000;2.0;24.0;16.5;0.0008730000;52.0;-11.0;22.5
4.6;85475.0;-11;-83.0;15.0;16.0;83.1;209;1.0;29265.0;9.0;7.0;0.0042330000;2.0;24.0;17.5;0.0007070000;52.0;-11.0;22.5
3.3;89279.0;-13;-83.0;15.0;17.0;81.6;209;1.0;30139.0;9.0;7.0;0.0014760000;2.0;24.0;7.5;0.0005730000;52.0;-11.0;22.5
4.8;93448.0;-15;-83.0;15.0;16.0;82.8;209;1.0;31013.0;9.0;7.0;0.0005150000;2.0;24.0;17.5;0.0004640000;52.0;-11.0;22.5
6.0;97305.0;-15;-83.0;15.0;16.0;80.3;209;1.0;31887.0;9.0;6.0;0.4649020000;2.0;24.0;8.5;0.0003760000;52.0;-11.0;22.5
4.7;100488.0;-15;-82.0;15.0;17.0;82.6;209;1.0;32761.0;9.0;6.0;0.2521010000;2.0;24.0;17.5;0.0003040000;52.0;-11.0;22.5
4.2;103498.0;-15;-82.0;15.0;15.0;81.3;209;1.0;33198.0;9.0;6.0;0.0879020000;2.0;24.0;16.5;0.0002740000;52.0;-11.0;22.5
4.1;106649.0;-15.1;-83.0;15.0;14.0;81.2;209;1.0;34072.0;9.0;6.0;0.0340550000;2.0;24.0;18.5;0.0002220000;52.0;-11.0;22.5
3.9;111119.0;-4;-84.0;15.0;15.0;81.6;209;1.0;34946.0;9.0;7.0;0.0204840000;2.0;24.0;18.5;0.0001800000;52.0;-11.0;22.5
4.1;114622.0;-13.1;-84.0;15.0;14.0;82.5;209;1.0;35820.0;9.0;7.0;0.0079360000;2.0;24.0;19.0;0.0001460000;52.0;-11.0;22.5
3.5;118426.0;-9.1;-82.0;15.0;15.0;84.0;209;1.0;36694.0;9.0;7.0;0.0027670000;2.0;24.0;10.5;0.0001180000;52.0;-11.0;22.5
3.2;122262.0;-15;-82.0;15.0;16.0;80.7;209;1.0;37568.0;9.0;7.0;0.0009650000;2.0;24.0;17.0;0.0000960000;52.0;-11.0;22.5
4.4;126871.0;-9;-83.0;15.0;16.0;82.2;209;1.0;38442.0;9.0;8.0;0.0099400000;2.0;24.0;17.5;0.0000770000;52.0;-11.0;22.5
5.2;130808.0;-9;-83.0;15.0;16.0;84.6;209;1.0;39316.0;9.0;8.0;0.0569950000;2.0;24.0;13.0;0.0000630000;52.0;-11.0;22.5
4.7;134720.0;-9;-83.0;15.0;18.0;84.1;209;1.0;40190.0;9.0;6.0;0.1320660000;2.0;24.0;20.5;0.0000510000;52.0;-11.0;22.5
4.0;138140.0;-9;-83.0;15.0;19.0;81.9;209;1.0;41064.0;9.0;6.0;0.0460490000;2.0;24.0;12.5;0.0000410000;52.0;-11.0;22.5
6.4;142021.0;-9;-83.0;15.0;18.0;81.8;209;1.0;41938.0;9.0;6.0;0.0284690000;2.0;24.0;18.0;0.0000330000;52.0;-11.0;22.5
3.8;145204.0;-9.1;-84.0;15.0;17.0;83.7;209;1.0;42812.0;9.0;6.0;0.0110290000;2.0;24.0;19.5;0.0000270000;52.0;-11.0;22.5
3.8;148624.0;-11;-83.0;15.0;16.0;83.9;209;1.0;43686.0;9.0;6.0;0.0038460000;2.0;24.0;14.0;0.0000220000;52.0;-11.0;22.5
3.7;152076.0;-11;-84.0;15.0;18.0;85.0;209;1.0;44560.0;9.0;6.0;0.0013410000;2.0;25.0;20.5;0.0000180000;52.0;-10.5;23.5
4.9;156117.0;-9.1;-83.0;15.0;15.0;80.0;209;1.0;45434.0;9.0;7.0;0.1123290000;2.0;24.0;15.5;0.0000140000;52.0;-10.5;23.5
6.0;159633.0;-9.1;-83.0;15.0;16.0;81.0;209;1.0;46308.0;9.0;6.0;0.1890920000;2.0;24.0;17.5;0.0000120000;52.0;-11.0;19.0
5.9;162784.0;-15;-83.0;15.0;14.0;84.4;209;1.0;47182.0;9.0;6.0;0.2485510000;2.0;25.0;19.5;0.0000090000;52.0;-11.0;22.5
4.8;166204.0;-11;-84.0;15.0;16.0;83.4;209;1.0;48056.0;9.0;6.0;0.0866640000;2.0;25.0;9.5;0.0000080000;52.0;-10.5;23.5
4.3;170354.0;-9;-83.0;15.0;15.0;81.1;209;1.0;48930.0;9.0;6.0;0.0420280000;2.0;24.0;17.0;0.0000080000;52.0;-10.5;23.5
4.6;173537.0;-15.1;-83.0;15.0;15.0;83.3;209;1.0;49804.0;9.0;6.0;0.0162820000;2.0;25.0;12.0;0.0000070000;52.0;-11.0;19.5
4.3;176989.0;-15.1;-83.0;15.0;16.0;81.8;209;1.0;50678.0;9.0;6.0;0.0056770000;2.0;24.0;17.5;0.0000060000;52.0;-11.0;22.5
4.5;180140.0;-15.1;-83.0;15.0;15.0;83.1;209;1.0;51552.0;9.0;6.0;0.1022000000;2.0;25.0;18.5;0.0000060000;52.0;-10.5;23.5
4.4;184258.0;-2.1;-83.0;15.0;13.0;82.3;209;1.0;52426.0;9.0;6.0;0.0487570000;2.0;25.0;17.5;0.0000050000;52.0;-10.5;23.5
5.7;187473.0;-15.1;-83.0;15.0;14.0;83.9;209;1.0;53300.0;9.0;6.0;0.1376430000;2.0;25.0;18.5;0.0000040000;52.0;-10.5;23.5
4.5;190893.0;-9.1;-83.0;15.0;13.0;84.3;209;1.0;54174.0;9.0;6.0;0.0479930000;2.0;25.0;12.5;0.0000040000;52.0;-10.5;23.5
4.2;194345.0;-2.1;-83.0;15.0;15.0;84.1;209;1.0;55048.0;9.0;6.0;0.0167340000;2.0;25.0;19.5;0.0000040000;52.0;-10.5;23.5
4.4;198290.0;-2.1;-83.0;15.0;13.0;82.7;209;1.0;55922.0;9.0;7.0;0.0210630000;2.0;25.0;16.0;0.0000030000;52.0;-10.5;23.5
5.1;201537.0;-2.1;-83.0;15.0;13.0;83.0;209;1.0;56796.0;9.0;6.0;0.0990370000;2.0;25.0;10.0;0.0000020000;52.0;-10.5;23.5
4.0;204989.0;-2.1;-83.0;15.0;14.0;84.9;209;1.0;57670.0;9.0;6.0;0.0345320000;2.0;25.0;20.5;0.0000020000;52.0;-10.5;23.5
3.9;208409.0;-2.1;-82.0;15.0;13.0;83.5;209;1.0;58544.0;9.0;6.0;0.0120410000;2.0;25.0;10.0;0.0000020000;52.0;-10.5;23.5
4.0;212322.0;-2.1;-82.0;15.0;13.0;82.2;209;1.0;59418.0;9.0;7.0;0.1208650000;2.0;25.0;16.5;0.0000010000;52.0;-10.5;23.5
4.1;215569.0;-15;-83.0;15.0;15.0;84.2;209;1.0;60292.0;9.0;6.0;0.0898720000;2.0;25.0;19.0;0.0000010000;52.0;-10.5;23.5
4.0;218989.0;-2.1;-83.0;15.0;14.0;81.8;209;1.0;61166.0;9.0;6.0;0.0313360000;2.0;25.0;8.5;0.0000010000;52.0;-10.5;23.5
3.6;222441.0;-2.1;-83.0;15.0;13.0;83.7;209;1.0;62040.0;9.0;6.0;0.0109260000;2.0;25.0;19.0;0.0000010000;52.0;-10.5;23.5
5.7;226226.0;-15.1;-83.0;15.0;13.0;83.4;209;1.0;62914.0;9.0;6.0;0.1812820000;2.0;25.0;16.0;0.0000010000;52.0;-10.5;23.5
6.5;229774.0;-9.1;-83.0;15.0;15.0;82.8;209;1.0;63788.0;9.0;6.0;0.3098280000;2.0;25.0;18.0;0.0000000000;52.0;-10.5;23.5
5.4;232925.0;-9.1;-83.0;15.0;14.0;83.8;209;1.0;64662.0;9.0;6.0;0.2731780000;2.0;25.0;17.5;0.0000000000;52.0;-10.5;23.5
4.8;236345.0;-9.1;-83.0;15.0;14.0;81.2;209;1.0;65536.0;9.0;6.0;0.1783950000;2.0;25.0;11.0;0.0000000000;52.0;-10.5;23.5
5.4;239560.0;-9.1;-82.0;15.0;15.0;81.7;209;1.0;66410.0;9.0;6.0;0.4913330000;2.0;24.0;18.0;0.0000000000;52.0;-10.5;23.5
5.8;242775.0;-15.1;-82.0;15.0;12.0;82.9;209;1.0;67284.0;9.0;6.0;0.2959760000;2.0;24.0;15.5;0.0000000000;52.0;-10.5;23.5
