ueId,rnti,inSync,dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,pmi,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr,id,frame,slot,pci,dlCarrierFreq,ulCarrierFreq,avgLdpcIterations,timestamp
2,9490,1,363540,0,0.036547,43029,6,0.999353,1,"(0,0)",58,24,-10.5,23.5,-75,82.8,9,18,18.0,12345678,558,3,0,3750240000,3750240000,12.8,1744627700676
1,6a3d,1,10920,0,0.004505,29858,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-75,81.7,3,20,17.0,12345678,658,3,0,3750240000,3750240000,12.5,1744627701676
2,0e12,1,543,9,0.1,193,9,0.1,1,"(0,3)",52,24,-10.5,23.5,-78,84.5,4,24,19.5,12345678,658,3,0,3750240000,3750240000,12.5,1744627701676
1,6a3d,1,10983,0,0.003649,29921,6,1.0,2,"(0,0)",52,24,-10.5,23.5,-75,81.7,12,15,17.0,12345678,758,3,0,3750240000,3750240000,12.8,1744627702676
2,0e12,1,760,9,0.09,1737,6,0.608275,1,"(0,0)",59,24,-10.5,23.5,-78,80.9,9,25,15.5,12345678,758,3,0,3750240000,3750240000,12.8,1744627702676
1,6a3d,1,11025,0,0.002956,30253,6,1.0,1,"(0,0)",52,24,-10.5,23.5,-75,79.6,6,17,14.0,12345678,858,3,0,3750240000,3750240000,12.7,1744627703676
2,0e12,1,998,0,0.0729,2972,6,0.831375,1,"(0,3)",58,24,-10.5,23.5,-75,81.0,15,24,16.0,12345678,858,3,0,3750240000,3750240000,12.7,1744627703676
1,6a3d,1,11067,0,0.002394,32090,6,1.0,1,"(0,1)",59,24,-10.5,23.5,-76,81.3,1,11,16.0,12345678,958,3,0,3750240000,3750240000,12.2,1744627704676
2,0e12,1,1582,0,0.053144,4705,6,0.941204,2,"(0,1)",59,24,-10.5,23.5,-75,78.5,9,19,13.5,12345678,958,3,0,3750240000,3750240000,12.2,1744627704676
1,6a3d,1,11130,0,0.001939,34228,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-75,79.6,3,12,14.5,12345678,34,3,0,3750240000,3750240000,12.4,1744627705676
2,0e12,1,1645,0,0.043047,5037,6,0.977221,1,"(0,3)",58,24,-10.5,23.5,-73,80.7,15,12,16.0,12345678,34,3,0,3750240000,3750240000,12.4,1744627705676
1,6a3d,1,11193,0,0.001571,36334,6,1.0,2,"(0,1)",52,24,-10.5,23.5,-76,78.5,1,13,13.5,12345678,134,3,0,3750240000,3750240000,12.6,1744627706676
2,0e12,1,1687,0,0.034868,5100,6,0.989105,1,"(0,0)",52,24,-10.5,23.5,-73,81.9,8,8,17.0,12345678,134,3,0,3750240000,3750240000,12.6,1744627706676
1,6a3d,1,11235,0,0.001272,38741,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-76,77.3,15,13,12.0,12345678,234,3,0,3750240000,3750240000,12.6,1744627707676
2,0e12,1,1750,0,0.028243,5163,6,0.995779,1,"(0,3)",52,24,-10.5,23.5,-74,82.3,15,13,17.5,12345678,234,3,0,3750240000,3750240000,12.6,1744627707676
1,6a3d,1,11277,0,0.001031,40546,6,1.0,2,"(0,0)",52,24,-10.5,23.5,-77,84.0,6,21,18.0,12345678,334,3,0,3750240000,3750240000,12.5,1744627708676
2,0e12,1,1792,0,0.022877,5796,6,0.998365,1,"(0,3)",59,24,-10.5,23.5,-74,82.7,11,20,17.5,12345678,334,3,0,3750240000,3750240000,12.5,1744627708676
1,6a3d,1,11298,0,0.000927,40815,6,1.0,1,"(0,3)",58,24,-10.5,23.5,-77,82.2,3,19,17.5,12345678,434,3,0,3750240000,3750240000,12.6,1744627709676
2,0e12,1,1855,0,0.01853,6967,6,0.999296,1,"(0,2)",58,24,-10.5,23.5,-78,82.1,2,14,17.5,12345678,434,3,0,3750240000,3750240000,12.6,1744627709676
1,6a3d,1,11361,0,0.000751,41448,6,1.0,1,"(0,3)",59,24,-10.5,23.5,-79,82.7,3,11,18.0,12345678,534,3,0,3750240000,3750240000,12.4,1744627710676
2,0e12,1,1897,0,0.015009,9675,6,0.999727,1,"(0,3)",59,24,-10.5,23.5,-75,82.0,15,14,17.0,12345678,534,3,0,3750240000,3750240000,12.4,1744627710676
1,6a3d,1,11424,0,0.000609,42683,6,1.0,2,"(0,1)",59,24,-10.5,23.5,-78,72.0,15,3,7.0,12345678,634,3,0,3750240000,3750240000,12.0,1744627711676
2,0e12,1,1939,0,0.012158,11781,6,0.999894,1,"(0,3)",59,24,-10.5,23.5,-75,79.1,15,19,14.5,12345678,634,3,0,3750240000,3750240000,12.0,1744627711676
1,6a3d,1,11487,0,0.090493,43348,6,1.0,1,"(0,3)",59,24,-10.5,23.5,-76,83.2,11,14,18.0,12345678,734,3,0,3750240000,3750240000,12.7,1744627712676
2,0e12,1,2002,0,0.009848,12715,6,0.999959,1,"(0,3)",59,24,-10.5,23.5,-73,82.5,15,17,17.5,12345678,734,3,0,3750240000,3750240000,12.7,1744627712676
1,6a3d,1,11550,0,0.073299,44551,6,1.0,1,"(0,3)",58,24,-10.5,23.5,-75,81.5,3,19,16.0,12345678,834,3,0,3750240000,3750240000,12.6,1744627713676
2,0e12,1,2044,0,0.007977,13617,6,0.999984,1,"(0,2)",58,24,-10.5,23.5,-72,83.8,10,10,18.5,12345678,834,3,0,3750240000,3750240000,12.6,1744627713676
1,6a3d,1,11592,0,0.059372,44614,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-76,82.1,3,16,17.0,12345678,934,3,0,3750240000,3750240000,12.7,1744627714676
2,0e12,1,2107,0,0.006461,15422,6,0.999993,1,"(0,0)",58,24,-10.5,23.5,-72,83.4,9,12,18.5,12345678,934,3,0,3750240000,3750240000,12.7,1744627714676
1,6a3d,1,11655,0,0.048092,44978,6,1.0,2,"(0,1)",59,24,-10.5,23.5,-76,82.0,10,17,17.0,12345678,10,3,0,3750240000,3750240000,12.9,1744627715676
2,0e12,1,2149,0,0.005233,15786,6,0.999997,1,"(0,3)",52,24,-10.5,23.5,-73,83.8,13,12,18.0,12345678,10,3,0,3750240000,3750240000,12.9,1744627715676
1,6a3d,1,11718,0,0.038954,45342,6,1.0,2,"(0,0)",59,24,-10.5,23.5,-76,82.5,7,17,17.5,12345678,109,19,0,3750240000,3750240000,12.9,1744627716676
